# id	name  (net.runelite.api.AnimationID, runelite-api-1.12.35.jar)
-1	IDLE
23	WOODCUTTING_ENT_DRAGON_OR
24	WOODCUTTING_DRAGON_OR
88	FISHING_DRAGON_HARPOON_OR
172	IMP_DEATH
244	VIGGORAS_CHAINMACE_IDLE
335	MINING_MOTHERLODE_DRAGON_UPGRADED
363	HERBLORE_POTIONMAKING
364	HERBLORE_PESTLE_AND_MORTAR
367	PORTAL_NEXUS_SPIN
618	FISHING_HARPOON
619	FISHING_CAGE
620	FISHING_BIG_NET
621	FISHING_NET
622	FISHING_OILY_ROD
623	FISHING_POLE_CAST
624	MINING_RUNE_PICKAXE
625	MINING_BRONZE_PICKAXE
626	MINING_IRON_PICKAXE
627	MINING_STEEL_PICKAXE
628	MINING_ADAMANT_PICKAXE
629	MINING_MITHRIL_PICKAXE
642	MINING_DRAGON_PICKAXE_UPGRADED
643	MINING_CRASHEDSTAR_DRAGON_UPGRADED
719	MAGIC_ENCHANTING_AMULET_1
720	MAGIC_ENCHANTING_AMULET_2
721	MAGIC_ENCHANTING_AMULET_3
726	MAGIC_CHARGING_ORBS
733	FIREMAKING
827	BURYING_BONES
827	SMITHING_CANNONBALL
829	CONSUMING
830	DIG
830	FARMING_HARVEST_ALLOTMENT
832	LOOKING_INTO
836	DEATH
867	WOODCUTTING_RUNE
869	WOODCUTTING_ADAMANT
871	WOODCUTTING_MITHRIL
873	WOODCUTTING_BLACK
875	WOODCUTTING_STEEL
877	WOODCUTTING_IRON
879	WOODCUTTING_BRONZE
883	CRAFTING_POTTERS_WHEEL
884	CRAFTING_GLASSBLOWING
886	GEM_CUTTING_DIAMOND
887	GEM_CUTTING_RUBY
888	GEM_CUTTING_SAPPHIRE
889	GEM_CUTTING_EMERALD
890	GEM_CUTTING_OPAL
891	GEM_CUTTING_JADE
892	GEM_CUTTING_REDTOPAZ
894	CRAFTING_SPINNING
895	SAND_COLLECTION
896	COOKING_RANGE
897	COOKING_FIRE
898	SMITHING_ANVIL
899	SMITHING_SMELTING
931	MAGIC_ENCHANTING_JEWELRY
1051	MLM_WATER_WHEEL_SPINNING
1193	FISHING_KARAMBWAN
1248	FLETCHING_BOW_CUTTING
1249	CRAFTING_LEATHER
1520	GARGOYLE_DEATH
1568	ROCKSLUG_DEATH
1648	ECTOFUNTUS_GRIND_BONES
1649	ECTOFUNTUS_INSERT_BONES
1650	ECTOFUNTUS_EMPTY_BIN
1676	CORP_DEATH
1696	COW_HOME_TELEPORT_1
1697	COW_HOME_TELEPORT_2
1698	COW_HOME_TELEPORT_3
1699	COW_HOME_TELEPORT_4
1700	COW_HOME_TELEPORT_5
1701	COW_HOME_TELEPORT_6
