# id	name  (net.runelite.api.GraphicID, runelite-api-1.12.35.jar)
47	WINE_MAKE
53	CANNONBALL
85	SPLASH
86	GREY_BUBBLE_TELEPORT
111	TELEPORT
143	TELEKINETIC_SPELL
179	ENTANGLE
180	SNARE
181	BIND
361	ICE_RUSH
363	ICE_BURST
367	ICE_BLITZ
369	ICE_BARRAGE
725	VENGEANCE_OTHER
726	VENGEANCE
728	NPC_CONTACT
733	POT_SHARE
746	BAKE_PIE
800	BOOK_HOME_TELEPORT_1
802	BOOK_HOME_TELEPORT_2
803	BOOK_HOME_TELEPORT_3
804	BOOK_HOME_TELEPORT_4
1228	STAFF_OF_THE_DEAD
1387	FLYING_FISH
1443	GRANITE_CANNONBALL
1562	MELEE_NYLO_DEATH
1563	RANGE_NYLO_DEATH
1564	MAGE_NYLO_DEATH
1565	MELEE_NYLO_EXPLOSION
1566	RANGE_NYLO_EXPLOSION
1567	MAGE_NYLO_EXPLOSION
1727	GRAPHICS_OBJECT_ROCKFALL
1728	ZALCANO_PROJECTILE_FIREBALL
2018	CANNONBALL_OR
2019	GRANITE_CANNONBALL_OR
