# id	name  (net.runelite.api.ItemID, runelite-api-1.12.35.jar)
0	DWARF_REMAINS
1	TOOLKIT
2	STEEL_CANNONBALL
3	NULODIONS_NOTES
4	AMMO_MOULD
5	INSTRUCTION_MANUAL
6	CANNON_BASE
8	CANNON_STAND
10	CANNON_BARRELS
12	CANNON_FURNACE
14	RAILING
15	HOLY_TABLE_NAPKIN
16	MAGIC_WHISTLE
17	GRAIL_BELL
18	MAGIC_GOLD_FEATHER
19	HOLY_GRAIL
20	WHITE_COG
21	BLACK_COG
22	BLUE_COG
23	RED_COG
24	RAT_POISON
25	RED_VINE_WORM
26	FISHING_TROPHY
27	FISHING_PASS
28	INSECT_REPELLENT
30	BUCKET_OF_WAX
32	LIT_BLACK_CANDLE
33	LIT_CANDLE
35	EXCALIBUR
36	CANDLE
38	BLACK_CANDLE
39	BRONZE_ARROWTIPS
40	IRON_ARROWTIPS
41	STEEL_ARROWTIPS
42	MITHRIL_ARROWTIPS
43	ADAMANT_ARROWTIPS
44	RUNE_ARROWTIPS
45	OPAL_BOLT_TIPS
46	PEARL_BOLT_TIPS
47	BARB_BOLTTIPS
48	LONGBOW_U
50	SHORTBOW_U
52	ARROW_SHAFT
53	HEADLESS_ARROW
54	OAK_SHORTBOW_U
56	OAK_LONGBOW_U
58	WILLOW_LONGBOW_U
60	WILLOW_SHORTBOW_U
62	MAPLE_LONGBOW_U
64	MAPLE_SHORTBOW_U
66	YEW_LONGBOW_U
68	YEW_SHORTBOW_U
70	MAGIC_LONGBOW_U
72	MAGIC_SHORTBOW_U
74	KHAZARD_HELMET
75	KHAZARD_ARMOUR
76	KHAZARD_CELL_KEYS
77	KHALI_BREW
78	ICE_ARROWS
83	LEVER
84	STAFF_OF_ARMADYL
85	SHINY_KEY
86	PENDANT_OF_LUCIEN
87	ARMADYL_PENDANT
88	BOOTS_OF_LIGHTNESS
89	BOOTS_OF_LIGHTNESS_89
90	CHILDS_BLANKET
91	GUAM_POTION_UNF
93	MARRENTILL_POTION_UNF
95	TARROMIN_POTION_UNF
97	HARRALANDER_POTION_UNF
99	RANARR_POTION_UNF
101	IRIT_POTION_UNF
103	AVANTOE_POTION_UNF
105	KWUARM_POTION_UNF
107	CADANTINE_POTION_UNF
109	DWARF_WEED_POTION_UNF
111	TORSTOL_POTION_UNF
113	STRENGTH_POTION4
115	STRENGTH_POTION3
117	STRENGTH_POTION2
119	STRENGTH_POTION1
121	ATTACK_POTION3
123	ATTACK_POTION2
125	ATTACK_POTION1
127	RESTORE_POTION3
129	RESTORE_POTION2
131	RESTORE_POTION1
133	DEFENCE_POTION3
135	DEFENCE_POTION2
137	DEFENCE_POTION1
139	PRAYER_POTION3
141	PRAYER_POTION2
143	PRAYER_POTION1
145	SUPER_ATTACK3
147	SUPER_ATTACK2
149	SUPER_ATTACK1
151	FISHING_POTION3
153	FISHING_POTION2
155	FISHING_POTION1
157	SUPER_STRENGTH3
159	SUPER_STRENGTH2
161	SUPER_STRENGTH1
163	SUPER_DEFENCE3
165	SUPER_DEFENCE2
167	SUPER_DEFENCE1
169	RANGING_POTION3
171	RANGING_POTION2
173	RANGING_POTION1
175	ANTIPOISON3
177	ANTIPOISON2
179	ANTIPOISON1
181	SUPERANTIPOISON3
183	SUPERANTIPOISON2
185	SUPERANTIPOISON1
187	WEAPON_POISON
189	ZAMORAK_BREW3
191	ZAMORAK_BREW2
193	ZAMORAK_BREW1
195	POTION
197	POISON_CHALICE
199	GRIMY_GUAM_LEAF
201	GRIMY_MARRENTILL
203	GRIMY_TARROMIN
205	GRIMY_HARRALANDER
207	GRIMY_RANARR_WEED
209	GRIMY_IRIT_LEAF
211	GRIMY_AVANTOE
213	GRIMY_KWUARM
215	GRIMY_CADANTINE
217	GRIMY_DWARF_WEED
219	GRIMY_TORSTOL
221	EYE_OF_NEWT
223	RED_SPIDERS_EGGS
225	LIMPWURT_ROOT
227	VIAL_OF_WATER
229	VIAL
231	SNAPE_GRASS
233	PESTLE_AND_MORTAR
235	UNICORN_HORN_DUST
