# id	name	slot  (from equipment-models.json, cache revision 2026-08-04)
35	Excalibur	weapon
48	Longbow (u)	?
50	Shortbow (u)	?
54	Oak shortbow (u)	?
56	Oak longbow (u)	?
58	Willow longbow (u)	?
60	Willow shortbow (u)	?
62	Maple longbow (u)	?
64	Maple shortbow (u)	?
66	Yew longbow (u)	?
68	Yew shortbow (u)	?
70	Magic longbow (u)	?
72	Magic shortbow (u)	?
74	Khazard helmet	head
75	Khazard armour	torso
84	Staff of armadyl	weapon
86	Pendant of lucien	amulet
87	Armadyl pendant	amulet
88	Boots of lightness	boots
89	Boots of lightness	boots
229	Vial	?
272	Fish food	shield
278	Cattleprod	weapon
284	Plague jacket	torso
285	Plague trousers	legs
295	Glarial's amulet	amulet
301	Lobster pot	?
303	Small fishing net	?
305	Big fishing net	?
307	Fishing rod	?
309	Fly fishing rod	?
311	Harpoon	?
314	Feather	?
411	Oyster pearl	shield
413	Oyster pearls	shield
421	Lathas' amulet	amulet
426	Priest gown	torso
428	Priest gown	legs
430	Medical gown	torso
538	Druid's robe	legs
540	Druid's robe top	torso
542	Monk's robe	legs
544	Monk's robe top	torso
546	Shade robe top	torso
548	Shade robe	legs
552	Ghostspeak amulet	amulet
577	Blue wizard robe	torso
579	Blue wizard hat	head
581	Black robe	torso
583	Bailing bucket	?
585	Bailing bucket	?
589	Gnome amulet	amulet
590	Tinderbox	?
616	Beads of the dead	amulet
626	Pink boots	boots
628	Green boots	boots
630	Blue boots	boots
632	Cream boots	boots
634	Turquoise boots	boots
636	Pink robe top	torso
638	Green robe top	torso
640	Blue robe top	torso
642	Cream robe top	torso
644	Turquoise robe top	torso
646	Pink robe bottoms	legs
648	Green robe bottoms	legs
650	Blue robe bottoms	legs
652	Cream robe bottoms	legs
654	Turquoise robe bottoms	legs
656	Pink hat	head
658	Green hat	head
660	Blue hat	head
662	Cream hat	head
664	Turquoise hat	head
667	Blurite sword	weapon
675	Rock pick	weapon
677	Panning tray	?
717	Scrawled note	?
718	A scribbled note	?
719	Scrumpled note	?
727	Hollow reed	?
728	Hollow reed	?
731	Enchanted vial	?
732	Holy water	weapon
740	Blue hat	head
746	Dark dagger	weapon
747	Glowing dagger	weapon
751	Gnomeball	weapon
767	Phoenix crossbow	weapon
772	Dramen staff	weapon
774	'perfect' necklace	amulet
775	Cooking gauntlets	hands
776	Goldsmith gauntlets	hands
777	Chaos gauntlets	hands
778	Steel gauntlets	hands
796	null	?
797	null	?
798	null	?
800	Bronze thrownaxe	weapon
801	Iron thrownaxe	weapon
802	Steel thrownaxe	weapon
803	Mithril thrownaxe	weapon
804	Adamant thrownaxe	weapon
805	Rune thrownaxe	weapon
806	Bronze dart	weapon
807	Iron dart	weapon
808	Steel dart	weapon
809	Mithril dart	weapon
810	Adamant dart	weapon
811	Rune dart	weapon
